,Date,Unix,Ticker,DE Ratio,Price,stock_p_change,SP500,sp500_p_change,Difference
110,2004-11-12 17:19:37,1100301577.0,adbe,0.0,58.1,160.30465949820788,1184.170044,30.9314329911262,129.37322650708168
111,2005-02-07 16:20:07,1107814807.0,adbe,0.0,63.67,185.25985663082437,1201.719971,32.871895091685516,152.38796153913887
112,2012-07-02 04:31:22,1341221482.0,adbe,24.76,32.37,45.0268817204301,1365.51001,50.98184866178481,-5.954966941354712
113,2008-12-04 14:30:57,1228422657.0,adbe,0.08,22.54,0.9856630824372709,845.2199710000001,-6.54563290426544,7.531295986702711
114,2011-08-05 04:11:46,1312535506.0,adbe,28.17,26.15,17.159498207885296,1199.380005,32.613169494730194,-15.453671286844898
115,2006-04-07 10:36:37,1144424197.0,adbe,0.0,36.1,61.73835125448029,1295.5,43.24097480716544,18.49737644731485
116,2011-10-18 13:47:26,1318963646.0,adbe,27.25,26.24,17.562724014336908,1225.380005,35.48794011996084,-17.92521610562393
117,2008-12-05 00:15:55,1228457755.0,adbe,0.08,20.44,-8.422939068100353,876.070007,-3.134603008876681,-5.288336059223672
118,2006-02-21 13:18:21,1140549501.0,adbe,0.0,37.8,69.35483870967741,1283.030029,41.86219379453937,27.492644915138037
119,2005-08-31 10:51:30,1125503490.0,adbe,0.0,27.12,21.505376344086024,1220.329956,34.92956579222333,-13.424189448137305
120,2005-01-24 03:34:28,1106559268.0,adi,0.0,34.47,0.0,1163.75,0.0,0.0
121,2005-10-31 08:19:48,1130768388.0,adi,0.0,34.61,0.4061502756019744,1207.01001,3.7172940923737885,-3.311143816771814
122,2005-09-07 23:00:53,1126152053.0,adi,0.0,36.88,6.991586887148256,1236.359985,6.239311278195493,0.7522756089527629
123,2004-05-12 18:46:27,1084405587.0,adi,0.0,45.04,30.664345807948944,1097.280029,-5.711705349087002,36.376051157035945
124,2011-08-05 04:12:35,1312535555.0,adi,25.32,31.63,-8.239048447925732,1199.380005,3.0616545649838867,-11.300703012909619
125,2004-06-22 09:09:13,1087913353.0,adi,0.0,45.03,30.635335073977377,1134.410034,-2.521157121374866,33.15649219535224
126,2005-03-17 01:05:45,1111043145.0,adi,0.0,35.92,4.206556425877583,1190.209961,2.273680859291087,1.932875566586496
127,2004-11-11 09:56:15,1100188575.0,adi,0.0,38.5,11.691325790542505,1173.47998,0.836088506981746,10.85523728356076
128,2004-08-10 02:07:28,1092121648.0,adi,0.0,35.92,4.206556425877583,1079.040039,-7.27905142857143,11.485607854449013
129,2012-03-19 11:50:51,1332175851.0,adi,22.65,39.7,15.172613867130849,1409.75,21.138560687432868,-5.965946820302019
130,2005-04-08 23:33:20,1113021200.0,adi,0.0,35.67,3.4812880765883456,1181.199951,1.4994587325456545,1.981829344042691
131,2013-04-22 02:24:41,1366615481.0,adi,17.57,42.36,22.88946910356832,1562.5,34.26423200859291,-11.374762905024593
132,2004-01-20 06:29:18,1074601758.0,adi,0.0,50.5,46.50420655642588,1138.77002,-2.146507411385613,48.65071396781149
133,2011-07-29 19:09:22,1311984562.0,adm,85.48,30.64,0.0,1292.280029,0.0,0.0
134,2011-08-05 04:13:27,1312535607.0,adm,85.48,28.05,-8.453002610966056,1199.380005,-7.188846218716891,-1.2641563922491654
135,2009-01-09 16:47:55,1231541275.0,adm,0.628,27.94,-8.812010443864226,890.349976,-31.102396073629958,22.29038562976573
136,2007-04-09 12:40:37,1176140437.0,adm,0.541,37.02,20.822454308094002,1444.609985,11.787689400251503,9.034764907842499
137,2007-10-12 05:57:34,1192186654.0,adm,0.47,34.9,13.903394255874668,1561.800049,20.856162283074323,-6.952768027199655
138,2007-06-18 03:24:32,1182155072.0,adm,0.597,34.57,12.826370757180156,1531.050049,18.47664706114559,-5.650276303965436
139,2006-04-12 00:58:21,1144821501.0,adm,0.52,36.55,19.288511749347247,1288.119995,-0.3219142837964569,19.610426033143703
140,2005-01-26 00:58:06,1106722686.0,adm,0.613,22.65,-26.077023498694523,1174.069946,-9.14740461411247,-16.929618884582055
141,2013-06-07 17:17:34,1370643454.0,adm,46.71,33.02,7.7676240208877365,1643.380005,27.169032107668666,-19.40140808678093
142,2005-02-14 20:39:46,1108435186.0,adm,0.528,24.5,-20.03916449086162,1206.140015,-6.665739009110699,-13.373425481750921
143,2006-05-16 14:27:00,1147807620.0,adm,0.514,43.1,40.66579634464752,1292.079956,-0.015482170699085751,40.681278515346605
144,2007-03-07 08:11:55,1173276715.0,adm,0.541,32.96,7.5718015665796345,1391.969971,7.714267787388361,-0.14246622080872662
145,2006-04-06 18:53:48,1144367628.0,adm,0.52,37.05,20.92036553524803,1309.040039,1.2969332980382973,19.623432237209734
146,2011-09-28 04:29:00,1317202140.0,adm,54.78,25.77,-15.894255874673632,1151.060059,-10.92796969935996,-4.966286175313673
147,2006-04-28 06:30:41,1146223841.0,adm,0.52,36.19,18.113577023498685,1310.609985,1.4184198152612661,16.69515720823742
148,2004-11-30 07:08:52,1101820132.0,adm,0.613,21.23,-30.711488250652742,1173.819946,-9.16675026632327,-21.544737984329473
149,2008-01-23 23:14:44,1201151684.0,adm,0.62,40.85,33.322454308093995,1338.599976,3.5843583403392483,29.738095967754745
150,2006-04-07 06:53:49,1144410829.0,adm,0.52,36.92,20.49608355091384,1295.5,0.24916975637948105,20.24691379453436
151,2007-06-19 05:10:54,1182247854.0,adm,0.597,34.75,13.413838120104437,1533.699951,18.681703391084444,-5.267865270980007
152,2003-11-12 17:41:28,1068680488.0,adm,0.733,14.48,-52.74151436031331,1058.530029,-18.088184817100505,-34.653329543212806
153,2004-04-14 16:44:25,1081979065.0,adm,0.789,16.81,-45.13707571801567,1128.170044,-12.69925877652018,-32.43781694149549
154,2005-02-08 21:21:16,1107919276.0,adm,0.613,23.71,-22.617493472584854,1202.300049,-6.9628855960599285,-15.654607876524926
155,2006-04-24 19:49:42,1145926182.0,adm,0.52,38.45,25.489556135770243,1308.109985,1.2249632931532395,24.264592842617002
156,2007-02-20 08:05:08,1171980308.0,adm,0.541,35.88,17.101827676240212,1459.680054,12.95385065491869,4.147977021321523
157,2008-01-23 19:35:35,1201138535.0,adp,0.078,38.56,0.0,1338.599976,0.0,0.0
