Ticker
A
AA
AAPL
ABBV
ABC
ABT
ACE
ACI
ACN
ACT
ADBE
ADI
ADM
ADP
ADSK
ADT
AEE
AEO
AEP
AES
AET
AFL
AGN
AIG
AIV
AIZ
AKAM
ALL
ALTR
ALXN
AMAT
AMD
AMGN
AMP
AMT
AMZN
AN
ANF
ANN
AON
APA
APC
APD
APH
APOL
ARG
ARNA
ARO
ATI
ATVI
AVB
AVP
AVY
AXP
AZO
BA
BAC
BAX
BBBY
BBRY
BBT
BBY
BCR
BDX
BEAM
BEN
BF_B
BHI
BIG
BIIB
BK
BKS
BLK
BLL
BMC
BMS
BMY
BRCM
BRK_B
BSX
BTU
BWA
BXP
C
CA
CAB
CAG
CAH
CAM
CAMP
CAT
CB
CBG
CBS
CCE
CCI
CCL
CELG
CERN
CF
CFN
CHK
CHRW
CI
CIM
CINF
CL
CLDX
CLF
CLX
CMA
CMCSA
CME
CMG
CMI
CMS
CNP
CNX
COF
COG
COH
COL
COP
COST
COV
CPB
CRM
CSC
CSCO
CSX
CTAS
CTL
CTSH
CTXS
CVC
CVS
CVX
D
DAL
DD
DDS
DE
DELL
DF
DFS
DG
DGX
DHI
DHR
DIS
DISCA
DKS
DLPH
DLTR
DLX
DNB
DNR
DO
DOV
DOW
DPS
DRI
DSW
DTE
DTV
DUK
DVA
DVN
EA
EBAY
ECL
ECYT
ED
EFX
EIX
EL
EMC
EMN
EMR
EOG
EQR
EQT
ESRX
ESV
ETFC
ETN
ETR
EW
EXC
EXPD
EXPE
EXPR
F
FAST
FB
FCX
FDO
FDX
FE
FFIV
FHN
FIS
FISV
FITB
FL
FLIR
FLR
FLS
FLWS
FMC
FOSL
FRX
FSLR
FTI
FTR
GAS
GCI
GD
GE
GES
GILD
GIS
GLW
GM
GMCR
GME
GNW
GOOG
GPC
GPS
GRMN
GRPN
GS
GT
GTN
GWW
HAL
HAR
HAS
HBAN
HCBK
HCN
HCP
HD
HES
HIG
HOG
HON
HOT
HOV
HP
HPQ
HRB
HRL
HRS
HSP
HST
HSY
HTZ
HUM
IBM
ICE
IFF
IGT
INTC
INTU
IP
IPG
IR
IRM
ISRG
ITW
IVZ
JBL
JCI
JCP
JDSU
JEC
JNJ
JNPR
JOSB
JOY
JPM
JWN
K
KEY
KIM
KLAC
KMB
KMI
KMX
KO
KR
KRFT
KSS
KSU
L
LEG
LEN
LH
LIFE
LLL
LLTC
LLY
LM
LMT
LNC
LO
LOW
LRCX
LSI
LTD
LUK
LUV
LYB
M
MA
MAC
MAR
MAS
MAT
MCD
MCHP
MCK
MCO
MCP
MDLZ
MDT
MET
MGM
MHFI
MJN
MKC
MMC
MMM
MNST
MO
MOLX
MON
MOS
MPC
MRK
MRO
MS
MSFT
MSI
MTB
MU
MUR
MWV
MYL
NBL
NBR
NDAQ
NE
NEE
NEM
NFLX
NFX
NI
NILE
NKE
NLY
NOC
NOK
NOV
NRG
NSC
NTAP
NTRI
NTRS
NU
NUE
NUS
NVDA
NWL
NWSA
NYX
OI
OKE
OMC
ORCL
ORLY
OXY
P
PAYX
PBCT
PBI
PCAR
PCG
PCL
PCLN
PCP
PDCO
PEG
PEP
PETM
PETS
PFE
PFG
PG
PGR
PH
PHM
PKI
PLD
PLL
PM
PNC
PNR
PNW
POM
PPG
PPL
PRGO
PRU
PSA
PSX
PVTB
PWR
PX
PXD
QCOM
QDEL
QEP
R
RAI
RDC
RF
RHI
RHT
RL
ROK
ROP
ROST
RRC
RSG
RSH
RTN
S
SAI
SBUX
SCG
SCHL
SCHW
SD
SE
SEE
SFLY
SHLD
SHW
SIAL
SIRI
SJM
SKS
SLB
SLM
SNA
SNDK
SNE
SNI
SNTS
SO
SPG
SPLS
SRCL
SRE
STI
STJ
STT
STX
STZ
SWK
SWN
SWY
SYK
SYMC
SYY
T
TAP
TDC
TE
TEG
TEL
TER
TGT
THC
TIBX
TIF
TJX
TM
TMK
TMO
TRIP
TROW
TRV
TSLA
TSN
TSO
TSS
TWC
TWX
TXN
TXT
TYC
UA
UNH
UNM
UNP
UPS
URBN
USB
UTX
V
VALE
VAR
VFC
VIAB
VITC
VLO
VMC
VNO
VPRT
VRSN
VTR
VZ
WAG
WAT
WDC
WEC
WFC
WFM
WGO
WHR
WIN
WLP
WM
WMB
WMT
WPO
WPX
WTW
WU
WY
WYN
WYNN
X
XEL
XL
XLNX
XOM
XRAY
XRX
XYL
YHOO
YUM
ZION
ZLC
ZMH
ZNGA
