Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
2013-01-17,1358402400.0,XLNX,32.3,32.66,1480.94,24.16,8.5,33.26,19.57,4.24,3.39,22.88,27.89,8.69,19.17,8.37,8529999999.999999,8529999999.999999,17.75,2.28,3.88,12.41,3.88,1450000000.0,12.41,502690000.0,1.85,2.30,2.00,1710000000.0,6.54,915110000.0,6.57,10.55,749780000.0,1.28,0.13,96.10,9430000.0,4.50,3.60,9500000.0,1.0
2005-03-16,1110952800.0,XLNX,22.3,-12.02,1188.07,9.87,-21.89,3.333,28.31,6.60,4.02,23.74,25.33,12.83,15.19,4.415,10340000000.0,9780000000.0,31.23,1.71,6.17,N/A,6.17,867880000.0,407420000.0,376410000.0,1.05,141.00,20.90,693230000.0,1.99,3.333,3.333,7.479,371520000.0,2.562,0.12,82.63,16270000.0,2.189,4.67,14820000.0,0.0
2008-12-22,1229925600.0,XLNX,13.64,51.47,871.63,28.27,23.2,0.641,13.36,2.47,3.04,19.03,25.28,9.62,21.51,6.75,4670000000.0,4440000000.0,N/A,1.00,2.31,7.94,2.31,1150000000.0,7.94,365830000.0,1.27,8.80,8.70,1300000000.0,4.75,999560000.0,5.714,5.695,562810000.0,1.21,0.11,100.70,17210000.0,1.7,6.30,16579999.999999998,1.0
2012-10-23,1350968400.0,XLNX,29.11,39.13,1413.11,23.58,15.55,33.26,17.91,3.92,3.13,22.88,27.89,8.69,19.17,8.37,7820000000.0,7820000000.0,16.24,2.14,3.56,11.38,3.56,1450000000.0,11.38,502690000.0,1.85,2.30,2.00,1710000000.0,6.55,915110000.0,6.57,10.56,N/A,1.30,0.13,96.10,9380000.0,3.80,3.60,9260000.0,1.0
2011-07-18,1310965200.0,XLNX,28.41,-4.89,1305.44,4.46,-9.35,36.90,14.01,3.75,3.67,27.09,34.01,13.75,28.31,8.97,7860000000.0,7860000000.0,13.34,1.26,3.32,9.09,3.32,1550000000.0,9.09,641880000.0,2.39,7.80,11.10,1930000000.0,7.25,890980000.0,7.12,9.13,7860000000.0,0.90,0.10,102.30,24630000.0,5.70,10.50,25860000.0,0.0
2011-09-02,1314939600.0,XOM,59.52,24.04,1173.97,19.81,4.23,10.19,9.69,0.91,2.30,9.66,12.74,10.13,25.32,78.67,366340000000.0,366340000000.0,8.22,1.33,0.93,5.57,0.93,149470000000.0,5.57,37930000000.0,7.59,41.30,36.30,10040000000.0,2.07,16489999999.999998,0.97,31.99,366340000000.0,0.43,0.09,49.30,38120000.0,1.30,0.80,32890000.0,1.0
2011-06-10,1307682000.0,XOM,65.37,3.92,1270.98,4.3,-0.38,10.08,11.36,1.10,2.64,9.56,12.82,10.38,25.97,73.60,402940000000.0,402940000000.0,8.79,1.43,1.11,6.51,1.11,149470000000.0,6.51,34810000000.0,7.02,69.00,26.40,12830000000.0,2.61,15880000000.0,0.98,30.75,52220000000.0,0.42,0.09,49.30,26460000.0,1.50,0.50,29120000.0,0.0
2012-03-23,1332478800.0,XOM,71.39,7.14,1397.11,11.44,-4.3,10.60,10.19,0.93,2.62,9.47,12.48,10.68,26.93,89.02,410130000000.0,410130000000.0,9.65,1.50,0.95,5.88,0.95,179630000000.0,5.88,41060000000.0,8.42,1.60,15.00,12660000000.0,2.69,17030000000.000002,0.94,32.61,55340000000.0,0.57,0.11,49.20,31410000.0,2.00,0.60,30340000.0,0.0
2013-01-16,1358316000.0,XOM,76.15,13.63,1472.63,25.35,-11.72,7.21,9.47,0.96,2.45,10.40,11.50,9.31,28.16,90.96,407790000000.0,407790000000.0,11.29,3.84,0.96,6.29,0.96,179630000000.0,6.29,44330000000.0,9.46,7.40,7.70,13060000000.0,2.86,12420000000.0,1.03,36.56,53700000000.0,0.87,0.13,47.00,27500000.0,1.90,0.60,35990000.0,0.0
2005-07-21,1121922000.0,XOM,41.82,12.7,1227.04,1.08,11.62,0.08,13.78,1.35,3.62,9.94,14.79,13.53,28.41,43.363,375580000000.0,358740000000.0,12.47,1.67,1.29,7.002,1.29,134490000000.00002,7.002,27750000000.0,4.28,44.50,22.20,25170000000.0,3.953,8320000000.0,1.436,16.292,43380000000.0,0.464,0.14,53.10,34430000.0,1.8,0.50,35120000.0,1.0
2008-12-15,1229320800.0,XOM,61.65,-11.48,868.57,27.56,-39.04,0.082,8.70,0.88,3.25,10.57,16.53,19.46,40.23,88.396,409220000000.0,381050000000.0,N/A,4.01,0.82,4.278,0.82,171700000000.0,4.278,49060000000.0,9.24,57.60,34.70,38430000000.0,7.556,10260000000.0,1.42,24.629999,60580000000.0,0.5,0.07,50.60,40180000.0,0.6,0.80,38520000.0,0.0
2012-09-18,1347944400.0,XOM,77.51,0.39,1459.32,18.24,-17.85,9.28,9.68,0.98,2.61,10.37,11.44,9.48,29.02,91.62,423830000000.0,423830000000.0,11.26,1.48,0.98,6.48,0.98,179630000000.0,6.48,45090000000.0,9.49,49.00,7.10,17800000000.0,3.86,15580000000.0,1.04,35.27,55100000000.0,0.81,0.13,49.30,41290000.0,3.80,0.90,41180000.0,0.0
2008-12-17,1229493600.0,XOM,62.51,-13.89,904.42,21.19,-35.08,0.082,8.99,0.88,3.25,10.57,16.53,19.46,40.23,88.396,422900000000.0,378510000000.0,N/A,3.99,0.82,4.249,0.82,171700000000.0,4.249,49060000000.0,9.24,57.60,34.70,38430000000.0,7.556,10260000000.0,1.42,24.629999,60580000000.0,0.5,0.07,50.60,40180000.0,0.6,0.80,38520000.0,0.0
2010-11-17,1289973600.0,XOM,55.93,15.54,1178.59,3.19,12.35,12.61,12.22,1.05,2.40,8.27,11.49,8.95,21.61,68.48,353670000000.0,353670000000.0,10.83,1.00,1.07,6.86,1.07,124750000000.0,6.86,27260000000.0,5.65,55.40,16.10,12260000000.0,2.43,18290000000.0,1.01,28.76,43860000000.0,0.41,0.08,48.90,29990000.0,1.40,0.60,32479999.999999996,1.0
2013-05-16,1368680400.0,XOM,78.24,14.16,1650.47,13.78,0.38,7.75,9.28,0.98,2.43,10.86,13.46,10.17,28.26,90.55,407990000000.0,407990000000.0,11.07,6.24,0.99,5.68,0.99,178620000000.0,5.68,44930000000.0,9.83,0.50,13.00,6210000000.0,1.40,13410000000.0,0.89,37.56,50480000000.0,0.86,0.14,50.20,48200000.0,3.60,1.10,40700000.0,1.0
2008-01-23,1201068000.0,XOM,63.12,-4.42,1338.6,-38.18,33.76,0.076,11.56,1.33,3.80,11.59,17.27,15.85,33.33,60.321,436870000000.0,427850000000.0,N/A,1.40,1.27,6.046,1.27,164380000000.0,6.046,39200000000.0,6.92,10.30,2.40,31610000000.0,5.786,8990000000.0,1.524,21.709999,49530000000.0,1.26,0.09,50.30,42160000.0,2.2,0.80,42260000.0,1.0
