,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
244,N/A,N/A,MCD,N/A,N/A,N/A,N/A,N/A,1.28,25.06,5.87,6.97,24.19,34.97,15.80,138030000000.0,28.85,138030000000.0,163790000000.0,24.74,2.93,6.97,17.02,6.97,10200000000.0,138030000000.0,N/A,6.91,47.70,10.40,2670000000.0,3.35,28620000000.0,1.28,4.36,5260000000.0,138030000000.0,0.06,68.41,N/A,1.97,0.77,6110000.0,N/A
245,N/A,N/A,NFX,N/A,N/A,N/A,N/A,N/A,187.01,19.06,3.47,4.46,20.62,25.94,6.06,5810000000.0,8.41,5810000000.0,7710000000.0,11.39,0.70,4.61,8.67,4.61,1.54,5810000000.0,N/A,1.54,81.20,12.00,2.17,2.17,2430000000.0,1.17,6.59,196750000.0,5810000000.0,0.75,103.31,N/A,2.35,5.06,9020000.0,N/A
246,N/A,N/A,HCN,N/A,N/A,N/A,N/A,N/A,37.83,26.81,5.84,1.75,0.00,26.56,4210000000.0,24560000000.0,11.52,24560000000.0,26.81,35.66,11.24,0.00,0.00,0.00,2310000000.0,24560000000.0,N/A,2.47,236250000.0,2310000000.0,236250000.0,11520000000.0,11520000000.0,37.83,37.83,1510000000.0,24560000000.0,0.26,89.40,N/A,7.4,4.40,11260000.0,N/A
247,N/A,N/A,CMI,N/A,N/A,N/A,N/A,N/A,26.34,17.36,1.46,3.70,8.49,9.73,7.15,28360000000.0,116.38,28360000000.0,28810000000.0,1.46,1.46,1.48,11.70,1.48,4450000000.0,28360000000.0,N/A,9.84,56.70,26.20,1440000000.0,8.73,2260000000.0,1.57,46.12,2089999999.9999998,28360000000.0,0.26,85.08,N/A,3.01,2.67,4.32,N/A
248,N/A,N/A,SO,N/A,N/A,N/A,N/A,N/A,190.25,93.86,2.27,2.13,2.41,10.88,1.42,51250000000.0,22.70,51250000000.0,100900000000.0,16.85,6.72,4.47,17.29,4.47,8670000000.0,51250000000.0,N/A,0.54,6.10,1.00,1840000000.0,1.83,50150000000.0,0.73,24.00,5850000000.0,51250000000.0,0.03,55.77,N/A,5.32,2.24,21700000.0,N/A
249,N/A,N/A,TRIP,N/A,N/A,N/A,N/A,N/A,19.19,74.19,3.09,3.38,4.26,8.12,3.40,4790000000.0,10.93,4790000000.0,4290000000.0,32.24,5.67,2.77,24.53,2.77,1410000000.0,4790000000.0,N/A,0.47,54.50,4.30,5.49,5.49,19.19,2.47,10.21,208620000.0,4790000000.0,14.87,102.63,N/A,4.42,22.50,19610000.0,N/A
250,N/A,N/A,JCP,N/A,N/A,N/A,N/A,N/A,417.44,20.12,0.08,0.87,1.43,2.09,1.77,5330000000.0,40.09,5330000000.0,5330000000.0,20.12,1.46,0.43,6.40,0.43,4480000000.0,5330000000.0,N/A,0.57,0.59,1.80,0.59,0.59,4500000000.0,1.44,3.72,0.04,5330000000.0,1.90,74.30,N/A,6.91,52.84,148290000.0,N/A
251,N/A,N/A,PETS,N/A,N/A,N/A,N/A,N/A,4.91,28.77,3.33,8.37,11.58,17.55,25.98,873180000.0,12.93,873180000.0,809220000.0,24.78,2.68,3.09,16.84,3.09,79310000.0,873180000.0,N/A,1.49,78.80,9.70,68440000.0,3.36,4.91,4.91,5.12,37720000.0,873180000.0,4.08,103.70,N/A,6.45,32.72,5480000.0,N/A
252,N/A,N/A,EXPE,N/A,N/A,N/A,N/A,N/A,67.90,45.72,1.82,3.89,4.09,7.50,2.62,17920000000.0,65.03,17920000000.0,18630000000.0,21.69,1.53,1.89,14.44,1.89,7180000000.0,17920000000.0,N/A,2.57,26.10,14.90,3780000000.0,24.79,4240000000.0,0.72,30.24,1940000000.0,17920000000.0,12.26,93.58,N/A,3.18,10.26,12480000.0,N/A
253,N/A,N/A,CHK,N/A,N/A,N/A,N/A,N/A,0.53,4.97,0.37,1.59,3.07,7.34,3.34,3290000000.0,9.87,3290000000.0,14160000000.0,4.97,0.97,1.59,8.98,1.59,1580000000.0,3290000000.0,N/A,33.88,0.01,14.90,0.01,0.01,9900000000.0,0.53,2.94,2190000000.0,3290000000.0,0.93,66.85,N/A,6.3,18.58,171720000.0,N/A
254,N/A,N/A,GILD,N/A,N/A,N/A,N/A,N/A,115.87,8.45,3.53,3.90,42.22,58.52,16.57,96950000000.0,20.99,96950000000.0,95180000000.0,10.84,0.67,3.46,5.51,3.46,26130000000.0,96950000000.0,N/A,8.79,18.40,13.20,29070000000.0,22.25,29260000000.0,3.68,19.01,12310000000.0,96950000000.0,0.69,79.55,N/A,2.14,1.54,19600000.0,N/A
255,N/A,N/A,VMC,N/A,N/A,N/A,N/A,N/A,60.08,43.94,4.40,3.55,10.20,17.27,4.59,16649999999.999998,28.57,16649999999.999998,18630000000.0,30.11,2.35,4.92,19.55,4.92,953300000.0,16649999999.999998,N/A,2.87,23.50,8.60,701160000.0,5.3,2810000000.0,4.22,35.42,639510000.0,16649999999.999998,0.18,90.77,N/A,3.48,3.15,3790000.0,N/A
256,N/A,N/A,BXP,N/A,N/A,N/A,N/A,N/A,36.45,38.83,8.21,3.42,0.00,34.38,2600000000.0,21330000000.0,16.86,21330000000.0,38.83,44.36,91.25,0.00,0.00,0.00,1630000000.0,21330000000.0,N/A,3.21,493060000.0,1630000000.0,493060000.0,10230000000.0,10230000000.0,36.45,36.45,885800000.0,21330000000.0,0.59,99.71,N/A,5.17,2.46,3310000.0,N/A
257,N/A,N/A,NTAP,N/A,N/A,N/A,N/A,N/A,113.00,25.06,2.76,5.60,11.49,14.90,5.50,15540000000.0,20.78,15540000000.0,12510000000.0,16.01,1.18,2.22,12.31,2.22,3390000000.0,15540000000.0,N/A,2.33,60.60,6.10,5970000000.0,22.38,3140000000.0,1.67,10.40,1160000000.0,15540000000.0,0.07,99.61,N/A,5.99,7.49,12900000.0,N/A
258,N/A,N/A,WEC,N/A,N/A,N/A,N/A,N/A,113.69,22.68,2.88,2.37,12.78,22.96,3.59,21760000000.0,23.94,21760000000.0,32159999999.999996,21.02,4.21,4.26,12.81,4.26,2640000000.0,21760000000.0,N/A,3.04,0.70,3.20,18100000.0,0.06,10490000000.0,0.60,29.14,2130000000.0,21760000000.0,0.18,74.28,N/A,5.33,2.76,7530000.0,N/A
259,N/A,N/A,MDLZ,N/A,N/A,N/A,N/A,N/A,73.04,29.76,2.48,2.45,8.61,14.95,3.80,63740000000.0,16.87,63740000000.0,81950000000.0,18.07,1.85,3.19,17.61,3.19,10130000000.0,63740000000.0,N/A,1.43,81.00,2.10,0.6,0.6,19060000000.0,0.51,17.41,2500000000.0,63740000000.0,0.70,78.20,N/A,1.7,0.92,11930000.0,N/A
260,N/A,N/A,RTN,N/A,N/A,N/A,N/A,N/A,44.90,25.54,2.19,5.01,8.69,13.20,6.85,54370000000.0,85.85,54370000000.0,56550000000.0,22.69,2.63,2.28,15.10,2.28,6120000000.0,54370000000.0,N/A,7.36,5.10,4.50,2310000000.0,7.99,5050000000.0,1.66,37.57,2260000000.0,54370000000.0,0.17,75.44,N/A,0.00,0.00,3.19,N/A
261,N/A,N/A,SWN,N/A,N/A,N/A,N/A,N/A,268.64,8.83,0.90,2.02,16.31,21.60,5.90,2770000000.0,6.22,2770000000.0,6220000000.0,7.04,0.59,2.02,5.58,2.02,1840000000.0,2770000000.0,N/A,0.62,1.97,13.20,1.97,1.97,4440000000.0,1.88,0.04,271620000.0,2770000000.0,1.62,89.46,N/A,2.38,10.64,42500000.0,N/A
262,N/A,N/A,TAP,N/A,N/A,N/A,N/A,N/A,57.98,7.73,1.61,1.38,0.00,15.72,10720000000.0,17260000000.0,49.79,17260000000.0,7.73,16.91,2.56,0.00,0.00,0.00,1880000000.0,17260000000.0,N/A,10.36,971300000.0,1880000000.0,971300000.0,12320000000.0,12320000000.0,57.98,57.98,1640000000.0,17260000000.0,11.70,87.65,N/A,2.51,2.23,3830000.0,N/A
263,N/A,N/A,FISV,N/A,N/A,N/A,N/A,N/A,217.49,31.38,4.89,11.70,16.31,26.41,9.34,27450000000.0,26.32,27450000000.0,32130000000.000004,22.99,2.09,5.73,18.22,5.73,2550000000.0,27450000000.0,N/A,4.20,8.40,1.40,1.56,1.56,5110000000.0,1.01,11.26,1400000000.0,27450000000.0,0.33,91.83,N/A,3.54,1.98,2410000.0,N/A
264,N/A,N/A,VALE,N/A,N/A,N/A,N/A,N/A,71.30,15.78,1.74,1.34,11.08,33.76,6.67,55330000000.0,6.16,55330000000.0,79750000000.0,9.62,0.45,2.51,5.55,2.51,33490000000.000004,55330000000.0,N/A,0.68,98.30,8.30,1.16,1.16,30600000000.0,1.88,8.05,11450000000.0,55330000000.0,0.00,20.66,N/A,0.00,0.00,87560000.0,N/A
265,N/A,N/A,ACN,N/A,N/A,N/A,N/A,N/A,14.54,27.66,2.66,10.35,0.00,14.76,34850000000.0,92530000000.0,56.20,92530000000.0,27.66,21.02,2.35,0.00,0.00,0.00,11030000000.0,92530000000.0,N/A,5.44,4130000000.0,11030000000.0,4130000000.0,25070000.0,25070000.0,14.54,14.54,4970000000.0,92530000000.0,0.12,81.27,N/A,3.98,1.53,10460000.0,N/A
266,N/A,N/A,ISRG,N/A,N/A,N/A,N/A,N/A,4.76,49.01,14.21,8.58,30.16,34.21,10.83,42530000000.0,26.57,42530000000.0,40850000000.0,40.64,4.30,13.65,36.60,13.65,1890000000.0,42530000000.0,N/A,7.75,41.00,18.00,2150000000.0,19.16,4.76,4.76,44.27,1100000000.0,42530000000.0,1.06,95.86,N/A,4.58,4.00,4160000.0,N/A
267,N/A,N/A,L,N/A,N/A,N/A,N/A,N/A,46.93,17.36,1.24,0.88,7.20,16.93,1.81,16780000000.000002,40.13,16780000000.000002,21950000000.0,16.34,4.73,1.62,7.02,1.62,7820000000.0,16780000000.000002,N/A,2.87,52.00,7.10,6310000000.0,18.74,11430000000.0,0.53,56.50,2350000000.0,16780000000.000002,49.79,25.96,N/A,1.02,0.42,1140000.0,N/A
268,N/A,N/A,GD,N/A,N/A,N/A,N/A,N/A,42.22,19.04,1.93,5.18,10.37,14.41,8.30,60040000000.0,103.62,60040000000.0,61840000000.0,19.15,2.45,1.99,12.55,1.99,6250000000.0,60040000000.0,N/A,10.56,18.10,1.00,2720000000.0,9.13,4880000000.0,1.37,38.79,2670000000.0,60040000000.0,5.90,87.23,N/A,2.35,1.00,2260000.0,N/A
269,N/A,N/A,JNPR,N/A,N/A,N/A,N/A,N/A,41.40,16.99,2.06,2.08,12.43,18.83,6.45,10640000000.0,13.61,10640000000.0,9510000000.0,13.20,1.56,1.84,7.97,1.84,3100000000.0,10640000000.0,N/A,1.67,3.90,2.10,3290000000.0,8.76,2140000000.0000002,2.70,13.68,1380000000.0,10640000000.0,2.54,92.65,N/A,2.73,5.71,20980000.0,N/A
270,N/A,N/A,DHI,N/A,N/A,N/A,N/A,N/A,37.06,18.53,1.35,2.46,7.37,11.58,8.59,19040000000.0,37.65,19040000000.0,20710000000.0,13.87,1.02,1.47,12.28,1.47,3050000000.0,19040000000.0,N/A,2.74,10.40,11.20,2.59,2.59,2870000000.0,6.02,20.66,435100000.0,19040000000.0,8.94,86.46,N/A,2.98,3.80,9190000.0,N/A
271,N/A,N/A,COP,N/A,N/A,N/A,N/A,N/A,68.39,32.03,2.16,2.02,8.65,3.33,0.70,61650000000.0,23.12,61650000000.0,69730000000.0,32.03,2.59,2.44,8.05,2.44,8029999999.999999,61650000000.0,N/A,2.01,11690000000.0,8.30,11690000000.0,9.78,68.39,2.38,25.51,6040000000.0,61650000000.0,0.09,71.82,N/A,3.94,2.09,26170000.0,N/A
272,N/A,N/A,OMC,N/A,N/A,N/A,N/A,N/A,154.56,14.62,1.10,6.72,7.72,13.31,5.85,16940000000.000002,65.68,16940000000.000002,19990000000.0,13.51,1.77,1.30,8.59,1.30,2750000000.0,16940000000.000002,N/A,5.03,3.90,1.90,1850000000.0,8.03,4990000000.0,0.90,10.94,1440000000.0,16940000000.000002,0.74,105.53,N/A,8.64,10.42,25460000.0,N/A
273,N/A,N/A,AIZ,N/A,N/A,N/A,N/A,N/A,29.62,23.36,0.82,1.29,3.67,6.39,0.83,5330000000.0,116.55,5330000000.0,5270000000.0,14.12,1.36,0.81,9.93,0.81,2280000000.0,5330000000.0,N/A,4.24,1260000000.0,13.50,1260000000.0,23.4,1230000000.0,0.91,76.92,568930000.0,5330000000.0,0.81,94.41,N/A,1.76,1.74,2.24,N/A
274,N/A,N/A,FSLR,N/A,N/A,N/A,N/A,N/A,8.25,47.63,2.45,1.33,14.29,8.39,2.06,7310000000.0,28.59,7310000000.0,4880000000.0,47.63,0.71,1.64,12.26,1.64,703980000.0,7310000000.0,N/A,4.09,36.70,59.60,2720000000.0,26.03,454680000.0,6.85,52.78,1180000000.0,7310000000.0,26.12,54.22,N/A,1.95,7.71,5560000.0,N/A
275,N/A,N/A,BLK,N/A,N/A,N/A,N/A,N/A,185.91,24.15,6.98,2.77,0.00,42.23,11910000000.0,83200000000.0,73.21,83200000000.0,24.15,20.24,1.53,0.00,0.00,0.00,10950000000.0,83200000000.0,N/A,21.35,6890000000.0,10950000000.0,6890000000.0,185.91,185.91,185.91,185.91,3680000000.0,83200000000.0,3.61,88.69,N/A,3.18,1.65,2310000.0,N/A
276,N/A,N/A,SE,N/A,N/A,N/A,N/A,N/A,2.60,7.51,5.57,5.57,80.73,74.78,374480000.0,2089999999.9999998,2.16,2089999999.9999998,2089999999.9999998,7.51,2.56,5.57,8.61,5.57,242260000.0,2089999999.9999998,N/A,1.75,651060000.0,12.70,651060000.0,3.58,626740000.0,2.60,1.53,209770000.0,2089999999.9999998,0.00,2.04,N/A,3.93,1.74,12220000.0,N/A
277,N/A,N/A,CSX,N/A,N/A,N/A,N/A,N/A,108.30,29.09,4.36,4.63,15.45,33.81,6.97,50460000000.0,12.59,50460000000.0,61290000000.0,20.99,1.60,5.29,11.69,5.29,8289999999.999999,50460000000.0,N/A,1.94,0.90,1.20,0.79,0.79,11810000000.0,1.05,12.18,3410000000.0,50460000000.0,5.06,72.15,N/A,2.71,1.86,15900000.0,N/A
278,N/A,N/A,RHT,N/A,N/A,N/A,N/A,N/A,54.04,74.98,8.38,15.83,11.49,15.14,5.73,22170000000.0,14.86,22170000000.0,74.98,38.20,2.54,7.94,42.88,7.94,2060000000.0,22170000000.0,N/A,1.67,64.80,20.60,1660000000.0,9.38,756740000.0,1.30,7.91,855390000.0,22170000000.0,0.51,96.53,N/A,0.18,0.00,N/A,N/A
279,N/A,N/A,WTW,N/A,N/A,N/A,N/A,N/A,0.96,27.93,2.41,3.80,9.02,20.96,12.83,3040000000.0,19.67,3040000000.0,4790000000.0,26.17,1.96,3.80,15.15,3.80,585500000.0,3040000000.0,N/A,1.69,29.00,15.30,178250000.0,2.76,1940000000.0,0.96,16.82,209930000.0,3040000000.0,11.17,88.29,N/A,4.6,36.81,6300000.0,N/A
280,N/A,N/A,DGX,N/A,N/A,N/A,N/A,N/A,78.27,20.35,1.73,2.75,8.82,15.35,7.11,13230000000.0,55.72,13230000000.0,16660000000.0,16.83,2.35,2.18,11.63,2.18,2900000000.0,13230000000.0,N/A,4.77,16.10,2.40,2.57,2.57,3840000000.0,1.47,35.25,1160000000.0,13230000000.0,0.43,93.80,N/A,4.24,5.23,4850000.0,N/A
281,N/A,N/A,P,N/A,N/A,N/A,N/A,N/A,40.95,16.33,0.83,7.20,38.50,24.27,18.49,1220000000.0,6.11,1220000000.0,996950000.0,16.33,0.39,0.68,3.39,0.68,489900000.0,1220000000.0,N/A,2.49,499430000.0,7.60,499430000.0,2.01,267399999.99999997,4.18,0.68,221240000.0,1220000000.0,1.32,17.62,N/A,5.49,31.54,71930000.0,N/A
282,N/A,N/A,KMX,N/A,N/A,N/A,N/A,N/A,393.65,18.58,0.70,3.83,3.90,6.62,4.47,12300000000.0,93.98,12300000000.0,24790000000.0,16.58,1.34,1.42,18.62,1.42,2180000000.0,12300000000.0,N/A,3.63,11.70,9.90,0.14,0.14,12600000000.0,2.33,17.60,354030000.0,12300000000.0,0.58,108.61,N/A,9.48,6.64,11900000.0,N/A
283,N/A,N/A,NOC,N/A,N/A,N/A,N/A,N/A,109.19,22.79,2.08,8.20,9.24,13.15,8.31,53210000000.0,146.15,53210000000.0,57900000000.0,22.95,2.52,2.27,15.16,2.27,5780000000.0,53210000000.0,N/A,13.41,7.10,6.00,1880000000.0,10.79,7090000000.0,1.21,37.30,2540000000.0,53210000000.0,0.49,83.04,N/A,2.65,1.14,1570000.0,N/A
284,N/A,N/A,MTB,N/A,N/A,N/A,N/A,N/A,99.74,19.83,4.86,1.72,26.63,44.10,1.15,25850000000.0,34.67,25850000000.0,26800000000.0,17.17,1.84,5.04,26.63,5.04,1330000000.0,25850000000.0,N/A,8.66,1.70,6.40,7840000000.0,52.11,8890000000.0,99.74,99.74,2180000000.0,25850000000.0,6.30,79.74,N/A,0.37,0.00,1.75,N/A
285,N/A,N/A,BMS,N/A,N/A,N/A,N/A,N/A,121.60,22.49,1.07,3.37,4.84,9.70,6.40,4290000000.0,43.72,4290000000.0,5790000000.0,17.71,3.91,1.44,10.42,1.44,866200000.0,4290000000.0,N/A,2.10,19.00,0.80,44700000.0,0.49,1550000000.0,1.80,14.05,388500000.0,4290000000.0,1.12,79.40,N/A,3.76,3.01,3070000.0,N/A
286,N/A,N/A,JEC,N/A,N/A,N/A,N/A,N/A,5.30,28.31,0.82,1.86,2.93,5.15,4.38,8250000000.0,83.96,8250000000.0,7620000000.0,0.82,0.82,0.76,11.96,0.76,1770000000.0,8250000000.0,N/A,2.42,217.60,0.50,774150000.0,6.43,238070000.0,1.55,36.78,574880000.0,8250000000.0,1.31,86.40,N/A,0.00,0.00,0.6,N/A
287,N/A,N/A,EW,N/A,N/A,N/A,N/A,N/A,32.70,34.42,7.54,7.90,22.47,29.97,12.64,24980000000.0,15.66,24980000000.0,24490000000.0,28.30,1.93,7.39,22.81,7.39,2170000000.0,24980000000.0,N/A,3.43,20.30,11.10,1400000000.0,6.63,1030000000.0,3.49,14.95,837900000.0,24980000000.0,3.94,0.00,N/A,1.23,1.06,2800000.0,N/A
288,N/A,N/A,FLR,N/A,N/A,N/A,N/A,N/A,47.11,35.23,0.36,2.15,1.03,2.56,3.36,7050000000.0,139.56,7050000000.0,6540000000.0,20.48,2.87,0.34,9.03,0.34,790320000.0,7050000000.0,N/A,1.43,866.30,3.70,2009999999.9999998,14.34,1620000000.0,1.56,23.47,804070000.0,7050000000.0,0.36,87.06,N/A,3.91,4.19,6290000.0,N/A
289,N/A,N/A,COST,N/A,N/A,N/A,N/A,N/A,63.53,30.93,0.64,7.63,2.08,3.19,7.39,82180000000.0,294.28,82180000000.0,82630000000.0,26.60,3.04,0.64,15.07,0.64,17140000000.0,82180000000.0,N/A,6.08,18.00,15.70,5780000000.0,13.23,7040000000.0,0.99,24.65,6730000000.0,82180000000.0,0.67,73.19,N/A,5.37,3.47,14040000.0,N/A
290,N/A,N/A,ETR,N/A,N/A,N/A,N/A,N/A,182.43,16.51,1.36,1.74,7.91,16.16,2.38,15150000000.0,61.88,15150000000.0,31080000000.0,16.51,2.25,2.80,8.82,2.80,4310000000.0,15150000000.0,N/A,4.90,2.60,3.80,546290000.0,3.03,16219999999.999998,0.78,48.38,2460000000.0,15150000000.0,0.35,86.53,N/A,2.43,2.17,3280000.0,N/A
291,N/A,N/A,HOG,N/A,N/A,N/A,N/A,N/A,375.54,15.98,1.55,4.68,10.14,15.87,5.40,8550000000.000001,31.75,8550000000.000001,15350000000.0,13.69,1.87,2.78,14.01,2.78,2270000000.0,8550000000.000001,N/A,3.20,40.20,9.70,311030000.0,1.83,6970000000.0,1.18,10.93,1200000000.0,8550000000.000001,0.40,99.49,N/A,10.01,15.91,27330000.0,N/A
292,N/A,N/A,NUE,N/A,N/A,N/A,N/A,N/A,49.65,17.70,1.00,2.25,5.73,9.68,7.32,19130000000.0,59.71,19130000000.0,21390000000.0,13.61,0.77,1.12,8.33,1.12,2029999999.9999998,19130000000.0,N/A,3.40,16.60,20.50,1630000000.0,5.11,4390000000.0,2.11,26.75,1320000000.0,19130000000.0,0.42,78.93,N/A,1.75,1.28,4290000.0,N/A
293,N/A,N/A,AMAT,N/A,N/A,N/A,N/A,N/A,56.73,16.22,3.77,5.85,23.62,26.61,14.22,54850000000.0,13.55,54850000000.0,53680000000.0,11.69,0.78,3.69,12.56,3.69,4510000000.0,54850000000.0,N/A,3.17,61.00,20.40,7280000000.0,6.84,5300000000.0,3.14,8.79,3610000000.0,54850000000.0,0.34,81.94,N/A,1.22,1.02,10710000.0,N/A
294,N/A,N/A,WDC,N/A,N/A,N/A,N/A,N/A,108.89,60.80,1.23,1.99,7.38,14.71,6.05,24100000000.0,67.33,24100000000.0,29380000000.0,6.99,0.25,1.50,5.89,1.50,6070000000.0,24100000000.0,N/A,1.34,6920000000.0,9.90,6920000000.0,23.4,13130000000.0,2.64,40.88,4130000000.0,24100000000.0,0.25,87.10,N/A,2.59,3.51,7310000.0,N/A
295,N/A,N/A,PBI,N/A,N/A,N/A,N/A,N/A,148.37,23.05,0.59,19.93,2.57,15.19,4.93,4440000000.0,18.20,4440000000.0,4440000000.0,7.60,1.92,1.31,6.48,1.31,1890000000.0,4440000000.0,N/A,0.47,12.40,0.50,1740000000.0,9.33,4179999999.9999995,1.42,0.54,524909999.99999994,4440000000.0,0.50,76.65,N/A,2.65,5.56,6060000.0,N/A
296,N/A,N/A,ADP,N/A,N/A,N/A,N/A,N/A,53.92,29.42,4.10,13.03,14.08,19.04,4.26,51450000000.0,28.17,51450000000.0,51050000000.0,26.79,2.74,4.07,18.81,4.07,5110000000.0,51450000000.0,N/A,3.94,8.90,5.60,2480000000.0,5.59,2130000000.0,1.10,8.90,2040000000.0,51450000000.0,0.29,80.24,N/A,2.75,1.29,6350000.0,N/A
297,N/A,N/A,TGT,N/A,N/A,N/A,N/A,N/A,113.42,12.86,0.48,3.00,3.80,6.59,7.25,33360000000.0,126.57,33360000000.0,43110000000.0,14.47,3.22,0.62,6.16,0.62,20620000000.0,33360000000.0,N/A,4.77,21.10,1.40,2720000000.0,5.01,12630000000.0,0.96,20.48,7040000000.0,33360000000.0,0.12,90.49,N/A,7.48,9.48,53690000.0,N/A
298,N/A,N/A,WYN,N/A,N/A,N/A,N/A,N/A,936.67,20.26,2.16,18.36,11.07,20.73,6.85,11450000000.0,50.58,11450000000.0,17040000000.0,16.62,1.45,3.22,12.54,3.22,2870000000.0,11450000000.0,N/A,5.58,3.60,3.40,2.85,2.85,5900000000.0,0.96,6.16,688500000.0,11450000000.0,2.79,97.99,N/A,5.65,6.65,6450000.0,N/A
299,N/A,N/A,PFG,N/A,N/A,N/A,N/A,N/A,27.09,11.74,1.44,1.73,12.43,17.25,0.65,20720000000.0,49.78,20720000000.0,18910000000.0,12.81,1.36,1.32,7.08,1.32,5480000000.0,20720000000.0,N/A,6.11,162.90,64.20,4900000000.0,16.96,3300000000.0,2.98,41.58,4560000000.0,20720000000.0,0.67,70.09,N/A,3.12,1.49,3320000.0,N/A
300,N/A,N/A,ALXN,N/A,N/A,N/A,N/A,N/A,36.51,51.14,7.37,2.85,14.57,28.46,4.59,25570000000.0,15.50,25570000000.0,25590000000.0,16.17,1.02,7.37,18.57,7.37,2830000000.0,25570000000.0,N/A,2.24,17.00,7.50,1530000000.0,6.86,3260000000.0,2.96,40.11,1240000000.0,25570000000.0,0.46,97.17,N/A,1.91,2.52,5230000.0,N/A
301,N/A,N/A,GPS,N/A,N/A,N/A,N/A,N/A,41.27,15.43,0.84,4.31,5.57,8.80,10.73,13020000000.0,39.08,13020000000.0,12990000000.0,15.65,2.23,0.84,6.77,0.84,5640000000.0,13020000000.0,N/A,2.17,12.30,1.10,1350000000.0,3.48,1250000000.0,1.73,7.77,1520000000.0,13020000000.0,37.68,57.55,N/A,0.72,0.00,0.92,N/A
302,N/A,N/A,INTC,N/A,N/A,N/A,N/A,N/A,44.60,15.21,3.27,2.86,22.31,27.74,9.00,202880000000.0,13.17,202880000000.0,215750000000.0,13.26,1.49,3.47,8.58,3.47,36190000000.0,202880000000.0,N/A,2.85,33.70,2.40,17500000000.0,3.74,31640000000.0,1.60,15.16,23020000000.0,202880000000.0,0.04,70.35,N/A,4.88,3.16,134930000.0,N/A
303,N/A,N/A,HON,N/A,N/A,N/A,N/A,N/A,79.05,23.29,2.95,5.55,12.85,17.76,7.99,117060000000.0,52.01,117060000000.0,123390000000.0,19.73,2.58,3.11,15.16,3.11,12150000000.0,117060000000.0,N/A,6.60,8.70,3.20,10170000000.0,13.35,16780000000.000002,1.35,27.66,5840000000.0,117060000000.0,0.16,76.93,N/A,3.71,1.15,8130000.000000001,N/A
304,N/A,N/A,IVZ,N/A,N/A,N/A,N/A,N/A,20.42,16.30,3.08,1.84,0.00,26.47,4980000000.0,15330000000.0,12.55,15330000000.0,16.30,12.99,1.00,0.00,0.00,0.00,4730000000.0,15330000000.0,N/A,2.31,2410000000.0,4730000000.0,2410000000.0,6400000000.0,6400000000.0,20.42,20.42,559500000.0,15330000000.0,1.83,88.31,N/A,2.2,1.65,7100000.0,N/A
305,N/A,N/A,AEE,N/A,N/A,N/A,N/A,N/A,108.79,25.16,2.59,2.09,10.38,23.26,3.46,15330000000.0,24.42,15330000000.0,23540000000.0,20.92,3.20,3.97,10.07,3.97,2690000000.0,15330000000.0,N/A,2.51,22.00,7.60,0.04,0.04,8140000000.000001,0.61,30.28,2210000000.0,15330000000.0,0.32,71.39,N/A,5.35,3.05,6430000.0,N/A
306,N/A,N/A,FL,N/A,N/A,N/A,N/A,N/A,4.74,11.32,0.71,2.14,6.79,10.88,13.92,5450000000.0,59.14,5450000000.0,4700000000.0,11.13,8.17,0.61,4.69,0.61,2640000000.0,5450000000.0,N/A,3.97,35.00,0.80,7.04,7.04,4.74,4.39,21.02,0.34,5450000000.0,23.62,9.61,N/A,0.03,0.00,1.24,N/A
307,N/A,N/A,BCR,N/A,N/A,N/A,N/A,N/A,81.44,43.90,6.26,12.02,14.75,26.18,11.65,24260000000.0,52.80,24260000000.0,24690000000.0,25.46,2.37,6.37,20.41,6.37,2340000000.0,24260000000.0,N/A,7.58,2.40,5.10,1160000000.0,15.89,1640000000.0,1.72,27.68,729200000.0,24260000000.0,0.37,81.94,N/A,2.15,1.85,1220000.0,N/A
308,N/A,N/A,M,N/A,N/A,N/A,N/A,N/A,149.60,11.33,0.32,1.86,2.82,6.55,4.87,7860000000.0,80.85,7860000000.0,13480000000.0,9.92,0.40,0.55,5.13,0.55,10160000000.0,7860000000.0,N/A,2.28,111.80,6.10,1.75,1.75,6320000000.0,1.29,13.89,1880000000.0,7860000000.0,0.32,86.81,N/A,4.14,23.19,57010000.0,N/A
309,N/A,N/A,TMO,N/A,N/A,N/A,N/A,N/A,89.43,31.96,3.80,3.05,11.73,15.40,3.67,75370000000.0,50.44,75370000000.0,95790000000.0,17.75,1.63,4.83,19.25,4.83,8369999999.999999,75370000000.0,N/A,5.88,12.80,13.90,741100000.0,1.85,22090000000.0,1.26,61.60,3240000000.0,75370000000.0,0.21,90.04,N/A,2.55,1.08,3970000.0,N/A
