,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
196,N/A,N/A,IRM,N/A,N/A,N/A,N/A,N/A,355.38,50.85,2.83,5.73,5.54,19.25,4.52,10710000000.0,14.34,10710000000.0,17220000000.0,30.17,1.08,4.54,13.80,4.54,1940000000.0,10710000000.0,N/A,0.79,243.90,2.40,338400000.0,1.27,6880000000.0,1.08,7.00,640170000.0,10710000000.0,3.62,100.80,N/A,19.4,9.49,21140000.0,N/A
197,N/A,N/A,THC,N/A,N/A,N/A,N/A,N/A,592.63,10.75,0.07,56.01,2.91,5.85,2.92,1350000000.0,190.10,1350000000.0,15790000000.0,10.75,1.09,0.83,7.91,0.83,16500000000.0,1350000000.0,N/A,5.53,4.25,5.40,4.25,4.25,14880000000.0,1.28,0.24,491120000.0,1350000000.0,2.19,130.92,N/A,0.00,0.00,0.00,N/A
198,N/A,N/A,PNW,N/A,N/A,N/A,N/A,N/A,91.51,19.55,2.86,1.97,14.67,27.27,3.69,10140000000.0,31.73,10140000000.0,14890000000.0,20.62,3.88,4.20,9.58,4.20,1510000000.0,10140000000.0,N/A,4.64,5.00,1.40,10670000.0,0.1,4830000000.0,0.90,46.05,1030000000.0,10140000000.0,1.18,84.67,N/A,3.78,2.39,2200000.0,N/A
199,N/A,N/A,CELG,N/A,N/A,N/A,N/A,N/A,144.99,24.86,6.68,8.48,27.60,40.09,10.71,83530000000.0,16.02,83530000000.0,83380000000.0,12.17,0.69,6.67,15.15,6.67,10790000000.0,83530000000.0,N/A,4.27,477.80,10.20,11790000000.0,14.97,14280000000.0,3.65,12.51,4770000000.0,83530000000.0,0.26,82.18,N/A,1.03,1.58,8920000.0,N/A
200,N/A,N/A,WHR,N/A,N/A,N/A,N/A,N/A,101.67,16.07,0.58,2.57,3.76,6.48,4.19,12200000000.0,285.71,12200000000.0,16950000000.0,10.75,1.42,0.80,8.39,0.80,3680000000.0,12200000000.0,N/A,10.56,16.00,3.20,1090000000.0,15.13,5780000000.0,0.90,66.00,1340000000.0,12200000000.0,0.69,96.36,N/A,3.05,5.43,4260000.0,N/A
201,N/A,N/A,HPQ,N/A,N/A,N/A,N/A,N/A,1.00,14.24,0.68,0.69,4.85,7.71,8.10,35190000000.0,30.84,35190000000.0,35840000000.0,11.09,1.54,0.69,8.21,0.69,4370000000.0,35190000000.0,N/A,1.48,34.10,11.30,4.19,4.19,7820000000.0,1.00,2.04,3680000000.0,35190000000.0,0.12,83.70,N/A,3.72,0.00,0.56,N/A
202,N/A,N/A,EOG,N/A,N/A,N/A,N/A,N/A,45.88,365.83,5.69,4.17,0.10,2.83,0.67,58050000000.0,17.78,58050000000.0,63210000000.0,53.40,0.49,6.20,14.95,6.20,5840000000.0,58050000000.0,N/A,0.01,846140000.0,32.60,846140000.0,1.46,6390000000.0,1.27,24.08,3740000000.0,58050000000.0,0.46,87.96,N/A,3.46,1.71,8630000.0,N/A
203,N/A,N/A,DLPH,N/A,N/A,N/A,N/A,N/A,135.56,9.95,0.79,4.23,8.00,13.96,11.45,13560000000.0,64.32,13560000000.0,26770000000.0,9.94,3.00,1.55,8.65,1.55,3580000000.0,13560000000.0,N/A,5.13,34.80,5.90,2.1,2.1,4900000000.0,1.62,12.05,1720000000.0,13560000000.0,3090000.0,3090000.0,N/A,1.83,1.15,2740000.0,N/A
204,N/A,N/A,MNST,N/A,N/A,N/A,N/A,N/A,3.24,46.15,10.76,9.46,23.92,38.39,17.77,35650000000.0,5.83,35650000000.0,34040000000.0,37.19,2.15,10.28,25.83,10.28,1940000000.0,35650000000.0,N/A,1.37,14.10,15.40,1100000000.0,1.94,3.24,3.24,6.68,1070000000.0000001,35650000000.0,32.20,66.48,N/A,3.03,1.52,4890000.0,N/A
205,N/A,N/A,ZION,N/A,N/A,N/A,N/A,N/A,36.03,19.13,4.04,1.41,24.06,37.78,0.96,10170000000.0,12.48,10170000000.0,13490000000.0,16.17,1.27,5.36,24.06,5.36,557010000.0,10170000000.0,N/A,2.66,26.00,10.30,1870000000.0,9.37,5040000000.0,36.03,36.03,984070000.0,10170000000.0,1.71,95.36,N/A,7.69,8.77,17080000.0,N/A
206,N/A,N/A,CHRW,N/A,N/A,N/A,N/A,N/A,108.42,26.38,0.86,9.12,3.31,5.29,12.08,12320000000.0,101.49,12320000000.0,13360000000.0,23.82,5.08,0.93,15.95,0.93,2280000000.0,12320000000.0,N/A,3.35,7.60,12.80,297310000.0,2.13,1470000000.0,1.24,9.69,370930000.0,12320000000.0,1.11,100.32,N/A,11.99,16.89,18910000.0,N/A
207,N/A,N/A,TER,N/A,N/A,N/A,N/A,N/A,17.18,18.89,3.90,3.78,21.11,24.40,11.39,7950000000.0,10.22,7950000000.0,6630000000.0,17.77,0.83,3.26,10.98,3.26,959570000.0,7950000000.0,N/A,2.14,62.10,22.60,1640000000.0,8.34,362600000.0,4.96,10.73,506860000.0,7950000000.0,0.37,98.22,N/A,3.03,4.01,6790000.0,N/A
